timestamp,;location_id;traffic_volume;avg_vehicle_speed;vehicle_count_cars;vehicle_count_trucks;vehicle_count_bikes;weather_condition;temperature;humidity;accident_reported;signal_status;
01/01/2024;00.00.00;4;504;53.124.161.879.202.600;142;24;44;Cloudy;3.333.438.747.854.920;3.639.069.822.190.800;0;Red
01/01/2024;00.01.00;5;209;4.494.785.004.124.700;862;50;23;Cloudy;17.926.830.469.092.200;37.640.926.582.553.100;0;Green
01/01/2024;00.02.00;3;572;6.317.922.899.663.180;317;12;10;Windy;33.483.375.393.574.600;8.426.261.001.965.950;1;Red
01/01/2024;00.03.00;5;699;42.269.696.887.144.500;709;43;21;Sunny;19.212.941.445.959.500;615.509.781.758.288;0;Yellow
01/01/2024;00.04.00;5;639;7.218.579.060.090.260;594;34;14;Cloudy;11.349.244.035.684.700;7.749.450.578.357.940;0;Red
01/01/2024;00.05.00;2;126;6.382.978.165.752.740;503;54;9;Foggy;29.074.234.717.725.500;36.917.475.593.016.000;1;Red
01/01/2024;00.06.00;3;558;5.886.279.026.377.520;184;86;40;Windy;2.758.770.360.220.850;8.565.856.233.051.570;0;Red
01/01/2024;00.07.00;3;490;6.777.443.573.377.120;718;8;26;Foggy;2.494.777.480.658.330;7.926.852.548.983.260;0;Yellow
01/01/2024;00.08.00;3;303;6.524.138.209.570.290;402;1;8;Foggy;2.224.734.360.960.430;43.485.848.686.521.300;0;Yellow
01/01/2024;00.09.00;5;970;221.563.204.952.932;228;60;27;Cloudy;10.804.131.758.065.700;8.245.093.399.763.720;0;Yellow
01/01/2024;00.10.00;4;819;4.368.406.123.068.960;758;40;0;Foggy;2.561.493.128.800.380;45.806.565.563.808.500;0;Green
01/01/2024;00.11.00;3;369;7.584.843.783.898.930;451;43;16;Sunny;20.420.865.380.569.800;4.232.039.276.034.330;0;Red
01/01/2024;00.12.00;5;852;27.543.456.139.533.500;408;63;30;Foggy;24.005.235.068.523.600;4.585.463.620.873.270;0;Yellow
01/01/2024;00.13.00;2;312;6.422.579.302.592.300;579;30;43;Cloudy;20.733.033.549.190.900;8.459.730.379.635.650;1;Green
01/01/2024;00.14.00;4;646;7.847.550.868.011.970;243;46;9;Foggy;34.151.403.319.129.900;8.493.551.913.089.210;0;Yellow
01/01/2024;00.15.00;2;707;231.319.177.426.983;22;1;36;Windy;25.102.722.528.771.100;4.973.974.648.127.810;0;Red
01/01/2024;00.16.00;4;884;6.093.163.283.759.660;391;95;28;Windy;2.873.090.826.506.160;7.232.605.110.567.300;0;Green
01/01/2024;00.17.00;5;603;4.808.924.847.806.180;706;81;17;Windy;3.340.867.368.677.700;70.544.715.309.851;0;Yellow
01/01/2024;00.18.00;1;423;5.475.051.532.248.330;465;76;46;Rainy;24.789.983.072.918.400;783.937.579.278.242;0;Yellow
01/01/2024;00.19.00;4;686;25.120.480.189.059.400;630;68;37;Windy;10.301.562.945.560.000;47.790.570.008.527.800;0;Green
01/01/2024;00.20.00;2;216;2.258.041.711.201.630;135;57;38;Windy;1.085.729.195.776.350;6.060.831.251.462.410;0;Green
01/01/2024;00.21.00;5;986;60.011.999.633.055.300;289;43;48;Rainy;27.558.460.852.546.500;7.006.043.706.049.720;0;Green
01/01/2024;00.22.00;4;802;6.939.856.578.924.300;466;73;5;Windy;1.697.712.840.378.200;31.575.409.128.594.300;0;Green
